"id" "sex" "age" "KRN" "bKRN"
"733" "XBSA_6D9" 1 90 11 0
"734" "XBSA_3A8" 1 90 8 -1
"735" "XBSA_6C9" 1 90 17 0
"736" "XBSA_6B9" 1 90 13 0
"737" "XBSA_6A9" 1 90 14 0
"738" "XBSA_2E11" 1 90 19 1
"739" "XBSA_2E12" 1 90 20 1
"740" "XBSA_2F9" 1 90 18 1
"741" "XBSA_2F10" 1 90 20 1
"742" "XBSA_2F11" 1 90 20 1
"743" "XBSA_7H12" 1 90 14 0
"744" "XBSA_7H11" 1 90 18 0
"745" "XBSA_2F12" 1 90 19 1
"746" "XBSA_2G9" 1 90 21 1
"747" "XBSA_2G10" 1 90 20 1
"748" "XBSA_2G11" 1 90 20 1
"749" "XBSA_7H10" 1 90 10 0
"750" "XBSA_7H9" 1 90 14 0
"751" "XBSA_7G12" 1 90 12 0
"752" "XBSA_7G11" 1 90 14 0
"753" "XBSA_1G3" 1 90 22 1
"754" "XBSA_2G12" 1 90 19 1
"755" "XBSA_2H9" 1 90 18 1
"756" "XBSA_2H10" 1 90 18 1
"757" "XBSA_7G10" 1 90 13 0
"758" "XBSA_2H11" 1 90 18 1
"759" "XBSA_7G9" 1 90 12 0
"760" "XBSA_3A1" 1 90 19 1
"761" "XBSA_3A2" 1 90 18 1
"762" "XBSA_3A3" 1 90 18 1
"763" "XBSA_3A4" 1 90 18 1
"764" "XBSA_7F12" 1 90 16 0
"765" "XBSA_3B1" 1 90 18 1
"766" "XBSA_1G4" 1 90 22 1
"767" "XBSA_3B2" 1 90 18 1
"768" "XBSA_3B3" 1 90 18 1
"769" "XBSA_3B4" 1 90 18 1
"770" "XBSA_3C1" 1 90 18 1
"771" "XBSA_7F11" 1 90 13 0
"772" "XBSA_3C2" 1 90 20 1
"773" "XBSA_3C3" 1 90 19 1
"774" "XBSA_3C4" 1 90 18 1
"775" "XBSA_3D1" 1 90 18 1
"776" "XBSA_4E4" 1 90 NA -1
"777" "XBSA_3D2" 1 90 18 1
"778" "XBSA_7F10" 1 90 14 0
"779" "XBSA_3D3" 1 90 19 1
"780" "XBSA_3D4" 1 90 18 1
"781" "XBSA_3E1" 1 90 19 1
"782" "XBSA_3E2" 1 90 18 1
"783" "XBSA_3E3" 1 90 18 1
"784" "XBSA_3E4" 1 90 18 1
"785" "XBSA_3F1" 1 90 18 1
"786" "XBSA_7F9" 1 90 10 0
"787" "XBSA_7E12" 1 90 15 0
"788" "XBSA_3F2" 1 90 20 1
"789" "XBSA_7E11" 1 90 14 0
"790" "XBSA_3F3" 1 90 22 1
"791" "XBSA_3F4" 1 90 18 1
"792" "XBSA_3G2" 1 90 18 1
"793" "XBSA_7E10" 1 90 17 0
"794" "XBSA_3G3" 1 90 21 1
"795" "XBSA_3G4" 1 90 18 1
"796" "XBSA_3H2" 1 90 19 1
"797" "XBSA_3H3" 1 90 19 1
"798" "XBSA_7E9" 1 90 12 0
"799" "XBSA_7D12" 1 90 15 0
"800" "XBSA_7D11" 1 90 12 0
"801" "XBSA_3H4" 1 90 18 1
"802" "XBSA_3A5" 1 90 18 1
"803" "XBSA_3B5" 1 90 19 1
"804" "XBSA_7D10" 1 90 17 0
"805" "XBSA_7D9" 1 90 13 0
"806" "XBSA_7C12" 1 90 12 0
"807" "XBSA_3C5" 1 90 19 1
"808" "XBSA_7C11" 1 90 15 0
"809" "XBSA_3D5" 1 90 18 1
"810" "XBSA_3E5" 1 90 21 1
"811" "XBSA_3F5" 1 90 20 1
"812" "XBSA_1H1" 1 90 23 1
"813" "XBSA_3G5" 1 90 18 1
"814" "XBSA_3H5" 1 90 18 1
