"Genotype"	"Estimate"	"StdErr"
"386"	"M0126"	11.7972	0.4792
"387"	"M0127"	11.3945	0.711
"388"	"M0129"	12.3279	0.3965
"389"	"M0130"	15.721	0.5401
"390"	"M0131"	11.5356	0.4101
"391"	"M0132"	12.5047	0.5374
"392"	"M0133"	15.751	0.5896
"393"	"M0138"	11.6932	0.4262
"394"	"M0141"	13.1313	0.424
"395"	"M0142"	15.1556	0.4843
"396"	"M0143"	14.1642	0.4581
"397"	"M0144"	14.9844	0.3965
"398"	"M0145"	17.4392	0.5426
"399"	"M0147"	15.1489	0.9957
"400"	"M0149"	16.3996	0.4393
"401"	"M0150"	11.9882	0.4239
"402"	"M0151"	14.6918	0.5865
"403"	"M0152"	13.7178	0.5058
"404"	"M0154"	13.0572	0.5101
"405"	"M0155"	12.7174	0.4847
"406"	"M0156"	16.2135	0.4419
"407"	"M0157"	15.0965	0.409
"408"	"M0160"	14.9743	0.4091
"409"	"M0160A"	14.4948	0.5102
"410"	"M0161"	13.2466	0.4091
"411"	"M0162"	13.7528	0.4408
"412"	"M0162A"	16.0423	0.4792
"413"	"M0163"	15.2653	0.4393
"414"	"M0165"	16.7001	0.4405
"415"	"M0166"	11.9103	0.5103
"416"	"M0167"	16.3598	0.579
"417"	"M0168"	14.4128	0.4238
"418"	"M0169"	15.8246	0.5488
"419"	"M0173"	13.8858	0.9766
"420"	"M0174"	13.6561	0.4239
"421"	"M0176"	15.294	0.4608
"422"	"M0177"	15.077	0.4843
"423"	"M0178"	16.0093	0.409
"424"	"M0179"	11.9587	0.424
"425"	"M0180"	13.5485	0.4239
"426"	"M0181"	14.876	0.4809
"427"	"M0185"	14.5066	0.5058
"428"	"M0187"	15.808	0.5058
"429"	"M0188"	14.8145	0.5058
"430"	"M0189"	16.3155	0.6378
"431"	"M0191"	12.544	0.4579
"432"	"M0192"	19.6274	0.7048
"433"	"M0194"	16.8239	0.4813
"434"	"M0196"	14.6225	0.6373
"435"	"M0197"	15.6678	0.4395
"436"	"M0198"	13.3227	0.4929
"437"	"M0199"	12.0171	0.8083
"438"	"M0200"	14.0445	0.5175
"439"	"M0201"	19.6372	0.711
"440"	"M0203"	15.4349	0.4393
"441"	"M0204"	13.105	0.4239
"442"	"M0205"	16.0734	0.5791
"443"	"M0206"	13.4001	0.5373
"444"	"M0208"	16.3418	0.628
"445"	"M0209"	14.2696	0.5058
"446"	"M0210"	11.9709	0.3966
"447"	"M0212"	12.5711	0.4089
"448"	"M0213"	13.0931	0.9767
"449"	"M0214"	15.1405	0.4089
"450"	"M0215"	14.3057	0.4091
"451"	"M0216"	12.4833	0.409
"452"	"M0217"	15.7945	0.4396
"453"	"M0218"	14.3533	0.458
"454"	"M0219"	13.7511	0.4811
"455"	"M0220"	17.8043	0.41
"456"	"M0222"	15.4975	0.4393
"457"	"M0223"	15.3013	0.5057
"458"	"M0225"	14.1201	0.9769
"459"	"M0228"	14.9936	0.7047
"460"	"M0229"	16.1138	0.5901
"461"	"M0230"	11.0514	0.4609
"462"	"M0232"	14.3209	0.5055
"463"	"M0233"	16.266	0.3966
"464"	"M0234"	15.5862	0.7108
"465"	"M0235"	14.7294	0.4581
