order,Pedigree,Genotype,Note,KRN,QS,ST
443,10NAM-189-21@,Z018E0184,Mo18W,16,2,S
444,10NAM-189-22@,Z018E0184,Mo18W,18,4,S
445,10NAM-189-23@,Z018E0184,Mo18W,18,2,S
446,10NAM-190-21@,Z018E0185,Mo18W,18,5,S
447,10NAM-191-21@,Z018E0186,Mo18W,15,3,S
448,10NAM-191-22@,Z018E0186,Mo18W,16,4,S
449,10NAM-191-23@,Z018E0186,Mo18W,22,5,S
451,10NAM-192-21@,Z018E0187,Mo18W,14,3,T
452,10NAM-192-22@,Z018E0187,Mo18W,16,4,T
453,10NAM-192-23@,Z018E0187,Mo18W,22,5,S
456,10NAM-194-21@,Z018E0189,Mo18W,20,3,S
457,10NAM-194-22@,Z018E0189,Mo18W,18,4,S
458,10NAM-195-21@,Z018E0190,Mo18W,16,3,S
459,10NAM-195-22@,Z018E0190,Mo18W,17,2,S
460,10NAM-195-23@,Z018E0190,Mo18W,18,4,T
461,10NAM-196-21@,Z018E0191,Mo18W,18,4,T
462,10NAM-196-22@,Z018E0191,Mo18W,20,5,S
463,10NAM-196-23@,Z018E0191,Mo18W,20,3,T
464,10NAM-197-21@,Z018E0192,Mo18W,12,4,S
465,10NAM-197-22@,Z018E0192,Mo18W,14,5,S
466,10NAM-197-23@,Z018E0192,Mo18W,16,5,S
468,10NAM-198-21@,Z018E0193,Mo18W,14,2,S
469,10NAM-198-22@,Z018E0193,Mo18W,14,1,S
470,10NAM-199-21@,Z018E0194,Mo18W,14,3,S
471,10NAM-199-22@,Z018E0194,Mo18W,15,3,T
472,10NAM-199-23@,Z018E0194,Mo18W,14,4,S
474,10NAM-200-21@,Z018E0195,Mo18W,16,5,S
475,10NAM-200-22@,Z018E0195,Mo18W,14,2,S
476,10NAM-200-23@,Z018E0195,Mo18W,16,3,S
478,10NAM-201-21@,Z018E0196,Mo18W,16,4,S
479,10NAM-201-22@,Z018E0196,Mo18W,18,5,S
480,10NAM-201-23@,Z018E0196,Mo18W,16,4,S
482,10NAM-202-21@,Z018E0197,Mo18W,18,5,S
483,10NAM-202-22@,Z018E0197,Mo18W,20,5,S
484,10NAM-202-23@,Z018E0197,Mo18W,19,4,S
485,10NAM-202-24@,Z018E0197,Mo18W,18,3,S
486,10NAM-203-21@,Z018E0198,Mo18W,14,1,S
487,10NAM-203-22@,Z018E0198,Mo18W,14,4,T
488,10NAM-204-21@,Z018E0199,Mo18W,18,4,S
489,10NAM-204-22@,Z018E0199,Mo18W,18,3,T
490,10NAM-204-23@,Z018E0199,Mo18W,21,4,T
492,10NAM-205-21@,Z018E0200,Mo18W,16,3,T
493,10NAM-205-22@,Z018E0200,Mo18W,17,3,T
494,10NAM-206-21@,Z018E0220,Mo18W,14,1,S
495,10NAM-206-22@,Z018E0220,Mo18W,16,1,S
498,10NAM-207-21@,Z018E0223,Mo18W,18,4,T
499,10NAM-207-22@,Z018E0223,Mo18W,16,2,T
501,10NAM-208-21@,Z018E0228,Mo18W,14,3,T
502,10NAM-208-22@,Z018E0228,Mo18W,16,3,T
504,10NAM-209-21@,Z015E0001,M162W,14,2,S
505,10NAM-209-22@,Z015E0001,M162W,12,1,S
506,10NAM-209-23@,Z015E0001,M162W,14,1,S
508,10NAM-210-21@,Z015E0002,M162W,12,1,S
509,10NAM-210-22@,Z015E0002,M162W,12,1,T
510,10NAM-210-23@,Z015E0002,M162W,13,2,T
