Genotype,Population,Subpopulation,KRN
B73xZ017E0156,BxRIL,Z017,18.7
B73xZ017E0157,BxRIL,Z017,18.4
B73xZ017E0160,BxRIL,Z017,15.6
B73xZ017E0163,BxRIL,Z017,17.3
B73xZ017E0165,BxRIL,Z017,17.7
B73xZ017E0167,BxRIL,Z017,16.3
B73xZ017E0168,BxRIL,Z017,15.2
B73xZ017E0169,BxRIL,Z017,17.6
B73xZ017E0171,BxRIL,Z017,17.4
B73xZ017E0172,BxRIL,Z017,15.2
B73xZ017E0173,BxRIL,Z017,14.3
B73xZ017E0176,BxRIL,Z017,16
B73xZ017E0177,BxRIL,Z017,16.7
B73xZ017E0178,BxRIL,Z017,15.1
B73xZ017E0179,BxRIL,Z017,17.2
B73xZ017E0180,BxRIL,Z017,16.3
B73xZ017E0181,BxRIL,Z017,16
B73xZ017E0182,BxRIL,Z017,16.6
B73xZ017E0186,BxRIL,Z017,15.3
B73xZ017E0188,BxRIL,Z017,15.7
B73xZ017E0190,BxRIL,Z017,17.5
B73xZ017E0192,BxRIL,Z017,15.4
B73xZ017E0195,BxRIL,Z017,15.7
B73xZ017E0198,BxRIL,Z017,16.6
B73xZ017E0199,BxRIL,Z017,16.4
B73xZ017E0200,BxRIL,Z017,16.3
B73xZ017EM0002,BxRIL,Z017,15.9
B73xZ017EM0004,BxRIL,Z017,15.8
B73xZ017EM0006,BxRIL,Z017,16.9
B73xZ017EM0026,BxRIL,Z017,15.8
B73xZ017EM0044,BxRIL,Z017,15.8
B73xZ017EM0053,BxRIL,Z017,16.9
B73xZ017EM0054,BxRIL,Z017,18
B73xZ017EM0059,BxRIL,Z017,16.8
B73xZ017EM0064,BxRIL,Z017,15.8
B73xZ017EM0065,BxRIL,Z017,18.2
B73xZ017EM0069,BxRIL,Z017,15.8
B73xZ017EM0070,BxRIL,Z017,14.8
B73xZ017EM0071,BxRIL,Z017,17
B73xZ017EM0078,BxRIL,Z017,16.8
B73xZ017EM0080,BxRIL,Z017,15.7
B73xZ017EM0081,BxRIL,Z017,15.9
B73xZ017EM0084,BxRIL,Z017,15.7
B73xZ017EM0086,BxRIL,Z017,16.9
B73xZ017EM0090,BxRIL,Z017,17.6
B73xZ017EM0091,BxRIL,Z017,16.1
B73xZ017EM0096,BxRIL,Z017,16.2
B73xZ017EM0097,BxRIL,Z017,15.1
B73xZ017EM0100,BxRIL,Z017,14.3
B73xZ017EM0103,BxRIL,Z017,15.5
B73xZ017EM0104,BxRIL,Z017,16
B73xZ017EM0107,BxRIL,Z017,15.1
B73xZ017EM0109,BxRIL,Z017,15.5
B73xZ017EM0110,BxRIL,Z017,16.9
B73xZ017EM0113,BxRIL,Z017,19.1
B73xZ017EM0115,BxRIL,Z017,16.1
B73xZ017EM0117,BxRIL,Z017,16
B73xZ017EM0120,BxRIL,Z017,18.8
B73xZ017EM0121,BxRIL,Z017,17.2
B73xZ017EM0122,BxRIL,Z017,16.8
B73xZ017EM0124,BxRIL,Z017,17.2
B73xZ017EM0126,BxRIL,Z017,14.8
B73xZ017EM0129,BxRIL,Z017,16.2
B73xZ017EM0130,BxRIL,Z017,16.7
B73xZ017EM0131,BxRIL,Z017,15.7
B73xZ017EM0132,BxRIL,Z017,15.5
B73xZ017EM0133,BxRIL,Z017,16.6
B73xZ017EM0138,BxRIL,Z017,14.9
B73xZ017EM0142,BxRIL,Z017,17.4
B73xZ017EM0144,BxRIL,Z017,16
B73xZ017EM0147,BxRIL,Z017,15.5
B73xZ017EM0149,BxRIL,Z017,18.7
B73xZ017EM0150,BxRIL,Z017,16
B73xZ017EM0152,BxRIL,Z017,16.5
B73xZ017EM0155,BxRIL,Z017,15.2
B73xZ017EM0156,BxRIL,Z017,18.6
B73xZ017EM0157,BxRIL,Z017,17
B73xZ017EM0160,BxRIL,Z017,17.5
B73xZ017EM0160A,BxRIL,Z017,16.9
B73xZ017EM0162A,BxRIL,Z017,17.9
B73xZ017EM0165,BxRIL,Z017,17.8
B73xZ017EM0166,BxRIL,Z017,14.7
B73xZ017EM0167,BxRIL,Z017,16.6
B73xZ017EM0168,BxRIL,Z017,18.2
B73xZ017EM0173,BxRIL,Z017,16.9
B73xZ017EM0174,BxRIL,Z017,15.2
B73xZ017EM0177,BxRIL,Z017,17
B73xZ017EM0178,BxRIL,Z017,17.8
B73xZ017EM0179,BxRIL,Z017,15.3
B73xZ017EM0180,BxRIL,Z017,16.2
B73xZ017EM0187,BxRIL,Z017,17.9
B73xZ017EM0189,BxRIL,Z017,17.9
B73xZ017EM0191,BxRIL,Z017,16
B73xZ017EM0195,BxRIL,Z017,16.2
B73xZ017EM0196,BxRIL,Z017,17.7
B73xZ017EM0197,BxRIL,Z017,17.2
B73xZ017EM0198,BxRIL,Z017,15.9
B73xZ017EM0199,BxRIL,Z017,14.1
B73xZ017EM0200,BxRIL,Z017,16.4
B73xZ017EM0201,BxRIL,Z017,18.4
B73xZ017EM0203,BxRIL,Z017,16.7
B73xZ017EM0204,BxRIL,Z017,15.4
B73xZ017EM0205,BxRIL,Z017,15.5
B73xZ017EM0206,BxRIL,Z017,16.7
B73xZ017EM0208,BxRIL,Z017,18.2
B73xZ017EM0209,BxRIL,Z017,17.8
B73xZ017EM0212,BxRIL,Z017,15.8
B73xZ017EM0213,BxRIL,Z017,16.4
B73xZ017EM0214,BxRIL,Z017,16.2
B73xZ017EM0216,BxRIL,Z017,16
B73xZ017EM0217,BxRIL,Z017,17.8
B73xZ017EM0220,BxRIL,Z017,17.5
B73xZ017EM0222,BxRIL,Z017,17.4
B73xZ017EM0223,BxRIL,Z017,17
B73xZ017EM0230,BxRIL,Z017,14.6
B73xZ017EM0232,BxRIL,Z017,17
B73xZ017EM0233,BxRIL,Z017,17.2
B73xZ017EM0234,BxRIL,Z017,18.1
B73xZ017EM0235,BxRIL,Z017,16.7
B73xZ017EM0236,BxRIL,Z017,14.9
B73xZ017EM0238,BxRIL,Z017,16.8
B73xZ017EM0239,BxRIL,Z017,18.9
B73xZ017EM0240,BxRIL,Z017,16.2
B73xZ017EM0241,BxRIL,Z017,16.6
B73xZ017EM0244,BxRIL,Z017,16.4
B73xZ017EM0245,BxRIL,Z017,17.4
B73xZ017EM0249,BxRIL,Z017,17.1
B73xZ017EM0251,BxRIL,Z017,16.2
B73xZ017EM0252,BxRIL,Z017,18.3
B73xZ017EM0254,BxRIL,Z017,16.6
B73xZ017EM0257,BxRIL,Z017,16
B73xZ017EM0258,BxRIL,Z017,16.7
B73xZ017EM0259,BxRIL,Z017,15.7
B73xZ017EM0260,BxRIL,Z017,15.9
B73xZ017EM0273,BxRIL,Z017,18.4
B73xZ017EM0280,BxRIL,Z017,16.4
B73xZ017EM0282,BxRIL,Z017,15.8
B73xZ017EM0283,BxRIL,Z017,16.1
B73xZ017EM0285,BxRIL,Z017,14.3
B73xZ017EM0289,BxRIL,Z017,15.6
B73xZ017EM0290,BxRIL,Z017,17.2
B73xZ017EM0291,BxRIL,Z017,17.7
B73xZ017EM0293,BxRIL,Z017,14.9
B73xZ017EM0294,BxRIL,Z017,16.1
B73xZ017EM0295,BxRIL,Z017,16.3
B73xZ017EM0300,BxRIL,Z017,16
B73xZ017EM0306,BxRIL,Z017,17.3
B73xZ017EM0312,BxRIL,Z017,15.8
B73xZ017EM0320,BxRIL,Z017,16.7
B73xZ017EM0324,BxRIL,Z017,15.2
B73xZ017EM0327,BxRIL,Z017,16.3
B73xZ017EM0331,BxRIL,Z017,16.9
B73xZ017EM0334,BxRIL,Z017,17.2
B73xZ017EM0339,BxRIL,Z017,18.1
B73xZ017EM0348,BxRIL,Z017,16.3
B73xZ017EM0350,BxRIL,Z017,15
B73xZ017EM0353,BxRIL,Z017,16.4
B73xZ017EM0358,BxRIL,Z017,17.2
B73xZ017EM0370,BxRIL,Z017,18.1
B73xZ017EM0375,BxRIL,Z017,15.7
B73xZ017EM0376,BxRIL,Z017,15.9
B73xZ017EM0377,BxRIL,Z017,17.7
B73xZ018E0027,BxRIL,Z018,19
B73xZ018E0030,BxRIL,Z018,17.3
B73xZ018E0032,BxRIL,Z018,16.8
B73xZ018E0039,BxRIL,Z018,17
B73xZ018E0042,BxRIL,Z018,17.3
B73xZ018E0049,BxRIL,Z018,19
B73xZ018E0053,BxRIL,Z018,16.7
B73xZ018E0061,BxRIL,Z018,16
B73xZ018E0077,BxRIL,Z018,17
B73xZ018E0078,BxRIL,Z018,19.6
B73xZ018E0096,BxRIL,Z018,17.7
B73xZ018E0114,BxRIL,Z018,16.3
B73xZ018E0121,BxRIL,Z018,15
B73xZ018E0122,BxRIL,Z018,15.2
B73xZ018E0130,BxRIL,Z018,16.7
B73xZ018E0138,BxRIL,Z018,17.7
B73xZ018E0139,BxRIL,Z018,14.3
B73xZ018E0148,BxRIL,Z018,17.7
B73xZ018E0150,BxRIL,Z018,19.3
B73xZ018E0158,BxRIL,Z018,16.7
B73xZ018E0160,BxRIL,Z018,18
B73xZ018E0163,BxRIL,Z018,18
B73xZ018E0164,BxRIL,Z018,17.3
B73xZ018E0171,BxRIL,Z018,17.2
B73xZ018E0172,BxRIL,Z018,19.3
B73xZ018E0173,BxRIL,Z018,19
B73xZ018E0177,BxRIL,Z018,16.7
B73xZ018E0179,BxRIL,Z018,15.3
B73xZ019E0004,BxRIL,Z019,18.7
B73xZ019E0006,BxRIL,Z019,17.3
B73xZ019E0011,BxRIL,Z019,16
B73xZ019E0069,BxRIL,Z019,17
B73xZ019E0111,BxRIL,Z019,16.3
B73xZ019E0119,BxRIL,Z019,16.7
B73xZ019E0124,BxRIL,Z019,17.3
B73xZ019E0125,BxRIL,Z019,16.7
B73xZ019E0138,BxRIL,Z019,18.7
B73xZ019E0170,BxRIL,Z019,16.5
B73xZ019E0177,BxRIL,Z019,16.8
B73xZ019E0178,BxRIL,Z019,15
B73xZ019E0194,BxRIL,Z019,17.2
B73xZ020E0009,BxRIL,Z020,16
B73xZ020E0012,BxRIL,Z020,15.3
B73xZ020E0015,BxRIL,Z020,16.7
B73xZ020E0019,BxRIL,Z020,18
